File: 050106.csv(array([0.25443099]), array([0.00034358]))
File: 2011.csv(array([0.00242851]), array([0.97319077]))
File: 0606.csv(array([0.70465924]), array([1.98498311e-30]))
File: 130802.csv(array([-0.18338604]), array([0.01048202]))
File: 2005.csv(array([0.36052896]), array([2.41911013e-07]))
File: 070201.csv(array([0.66883126]), array([1.61440791e-26]))
File: 050304.csv(array([0.12986985]), array([0.07109985]))
File: 0404.csv(array([0.34868616]), array([6.2763044e-07]))
File: 0410.csv(array([-0.07153265]), array([0.32160448]))
File: 131004.csv(array([0.06052464]), array([0.40184446]))
File: 2260.csv(array([0.47814986]), array([1.77941299e-12]))
File: 0107.csv(array([0.51337024]), array([1.94561295e-14]))
File: 060101.csv(array([0.54269342]), array([2.98346699e-16]))
File: 2116.csv(array([0.09548831]), array([0.18535977]))
File: 2102.csv(array([0.58110431]), array([6.50968146e-19]))
File: 050203.csv(array([0.5411286]), array([3.76739776e-16]))
File: 0503.csv(array([0.6359141]), array([2.23699851e-23]))
File: 0502.csv(array([0.58926371]), array([1.59283176e-19]))
File: 2315.csv(array([0.38079478]), array([4.3174014e-08]))
File: 110801.csv(array([0.49814586]), array([1.46036974e-13]))
File: 060302.csv(array([0.70103502]), array([5.24469597e-30]))
File: 2103.csv(array([-0.16117633]), array([0.02476057]))
File: 0106.csv(array([0.60782491]), array([5.56166912e-21]))
File: 0304.csv(array([0.44299355]), array([9.92100934e-11]))
File: 0310.csv(array([-0.26821999]), array([0.00015604]))
File: 131005.csv(array([-0.07353314]), array([0.30822225]))
File: 0104.csv(array([0.67547806]), array([3.34374957e-27]))
File: 060102.csv(array([0.33865274]), array([1.36611339e-06]))
File: 070305.csv(array([0.21887395]), array([0.00216853]))
File: 2129.csv(array([0.37805731]), array([5.48698846e-08]))
File: 2101.csv(array([0.40825857]), array([3.43885017e-09]))
File: 091104.csv(array([0.08381311]), array([0.24528304]))
File: 0702.csv(array([0.67604593]), array([2.91733306e-27]))
File: 110803.csv(array([0.19557632]), array([0.00627791]))
File: 0501.csv(array([0.63904378]), array([1.16771259e-23]))
