02/29 09:06:00 PM | # START #
02/29 09:06:08 PM | #### Train: [  1/100] Step 2400/3950 MSE 0.0353+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2430/3950 MSE 0.0349+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2460/3950 MSE 0.0346+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2490/3950 MSE 0.0343+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2520/3950 MSE 0.0340+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2550/3950 MSE 0.0337+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2580/3950 MSE 0.0334+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2610/3950 MSE 0.0331+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2640/3950 MSE 0.0328+-0.00000
02/29 09:06:08 PM | #### Train: [  1/100] Step 2670/3950 MSE 0.0325+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2700/3950 MSE 0.0322+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2730/3950 MSE 0.0319+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2760/3950 MSE 0.0317+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2790/3950 MSE 0.0314+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2820/3950 MSE 0.0312+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2850/3950 MSE 0.0309+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2880/3950 MSE 0.0307+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2910/3950 MSE 0.0304+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2940/3950 MSE 0.0302+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 2970/3950 MSE 0.0300+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 3000/3950 MSE 0.0298+-0.00000
02/29 09:06:09 PM | #### Train: [  1/100] Step 3030/3950 MSE 0.0295+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3060/3950 MSE 0.0293+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3090/3950 MSE 0.0291+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3120/3950 MSE 0.0289+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3150/3950 MSE 0.0287+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3180/3950 MSE 0.0285+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3210/3950 MSE 0.0283+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3240/3950 MSE 0.0281+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3270/3950 MSE 0.0280+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3300/3950 MSE 0.0278+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3330/3950 MSE 0.0276+-0.00000
02/29 09:06:10 PM | #### Train: [  1/100] Step 3360/3950 MSE 0.0274+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3390/3950 MSE 0.0272+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3420/3950 MSE 0.0271+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3450/3950 MSE 0.0269+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3480/3950 MSE 0.0267+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3510/3950 MSE 0.0266+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3540/3950 MSE 0.0264+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3570/3950 MSE 0.0262+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3600/3950 MSE 0.0261+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3630/3950 MSE 0.0259+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3660/3950 MSE 0.0258+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3690/3950 MSE 0.0256+-0.00000
02/29 09:06:11 PM | #### Train: [  1/100] Step 3720/3950 MSE 0.0255+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3750/3950 MSE 0.0253+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3780/3950 MSE 0.0251+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3810/3950 MSE 0.0250+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3840/3950 MSE 0.0248+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3870/3950 MSE 0.0247+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3900/3950 MSE 0.0245+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3930/3950 MSE 0.0244+-0.00000
02/29 09:06:12 PM | #### Train: [  1/100] Step 3950/3950 MSE 0.0243+-0.00000
02/29 09:06:12 PM | _train_step_Train: [  1/100] Final MSE 0.0243+-0.00000 Time 11.35
02/29 09:06:13 PM | #### Test: [  1/100] Step 030/987 MSE 0.0199+-0.01200
02/29 09:06:13 PM | #### Test: [  1/100] Step 060/987 MSE 0.0199+-0.01201
02/29 09:06:13 PM | #### Test: [  1/100] Step 090/987 MSE 0.0196+-0.01192
02/29 09:06:14 PM | #### Test: [  1/100] Step 120/987 MSE 0.0198+-0.01189
02/29 09:06:14 PM | #### Test: [  1/100] Step 150/987 MSE 0.0197+-0.01186
02/29 09:06:15 PM | #### Test: [  1/100] Step 180/987 MSE 0.0197+-0.01182
02/29 09:06:15 PM | #### Test: [  1/100] Step 210/987 MSE 0.0198+-0.01183
02/29 09:06:16 PM | #### Test: [  1/100] Step 240/987 MSE 0.0197+-0.01185
02/29 09:06:16 PM | #### Test: [  1/100] Step 270/987 MSE 0.0197+-0.01184
02/29 09:06:17 PM | #### Test: [  1/100] Step 300/987 MSE 0.0197+-0.01186
02/29 09:06:17 PM | #### Test: [  1/100] Step 330/987 MSE 0.0197+-0.01188
02/29 09:06:17 PM | #### Test: [  1/100] Step 360/987 MSE 0.0197+-0.01188
02/29 09:06:18 PM | #### Test: [  1/100] Step 390/987 MSE 0.0196+-0.01189
02/29 09:06:18 PM | #### Test: [  1/100] Step 420/987 MSE 0.0196+-0.01189
02/29 09:06:19 PM | #### Test: [  1/100] Step 450/987 MSE 0.0196+-0.01190
02/29 09:06:19 PM | #### Test: [  1/100] Step 480/987 MSE 0.0196+-0.01192
02/29 09:06:20 PM | #### Test: [  1/100] Step 510/987 MSE 0.0196+-0.01193
02/29 09:06:20 PM | #### Test: [  1/100] Step 540/987 MSE 0.0196+-0.01192
02/29 09:06:21 PM | #### Test: [  1/100] Step 570/987 MSE 0.0196+-0.01193
02/29 09:06:21 PM | #### Test: [  1/100] Step 600/987 MSE 0.0196+-0.01191
02/29 09:06:21 PM | #### Test: [  1/100] Step 630/987 MSE 0.0196+-0.01192
02/29 09:06:22 PM | #### Test: [  1/100] Step 660/987 MSE 0.0196+-0.01192
02/29 09:06:22 PM | #### Test: [  1/100] Step 690/987 MSE 0.0196+-0.01193
02/29 09:06:23 PM | #### Test: [  1/100] Step 720/987 MSE 0.0195+-0.01194
02/29 09:06:23 PM | #### Test: [  1/100] Step 750/987 MSE 0.0195+-0.01194
02/29 09:06:24 PM | #### Test: [  1/100] Step 780/987 MSE 0.0195+-0.01194
02/29 09:06:24 PM | #### Test: [  1/100] Step 810/987 MSE 0.0195+-0.01193
02/29 09:06:25 PM | #### Test: [  1/100] Step 840/987 MSE 0.0195+-0.01195
02/29 09:06:25 PM | #### Test: [  1/100] Step 870/987 MSE 0.0195+-0.01194
02/29 09:06:25 PM | #### Test: [  1/100] Step 900/987 MSE 0.0195+-0.01195
02/29 09:06:26 PM | #### Test: [  1/100] Step 930/987 MSE 0.0195+-0.01196
02/29 09:06:26 PM | #### Test: [  1/100] Step 960/987 MSE 0.0195+-0.01196
02/29 09:06:27 PM | #### Test: [  1/100] Step 987/987 MSE 0.0195+-0.01196
02/29 09:06:27 PM | Test: [  1/100] Final MSE 0.0195+-0.01196 Time 14.62
02/29 09:06:27 PM | Best top1 acc by now. Save model
02/29 09:06:27 PM | #### Training weights for epoch 1 #### 
02/29 09:06:27 PM | #### Train: [  2/100] Step 030/3950 MSE 0.0049+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 060/3950 MSE 0.0047+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 090/3950 MSE 0.0048+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 120/3950 MSE 0.0048+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 150/3950 MSE 0.0048+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 180/3950 MSE 0.0048+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 210/3950 MSE 0.0047+-0.00000
02/29 09:06:27 PM | #### Train: [  2/100] Step 240/3950 MSE 0.0047+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 270/3950 MSE 0.0047+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 300/3950 MSE 0.0047+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 330/3950 MSE 0.0048+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 360/3950 MSE 0.0049+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 390/3950 MSE 0.0048+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 420/3950 MSE 0.0048+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 450/3950 MSE 0.0047+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 480/3950 MSE 0.0047+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 510/3950 MSE 0.0046+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 540/3950 MSE 0.0046+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 570/3950 MSE 0.0045+-0.00000
02/29 09:06:28 PM | #### Train: [  2/100] Step 600/3950 MSE 0.0044+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 630/3950 MSE 0.0044+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 660/3950 MSE 0.0043+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 690/3950 MSE 0.0043+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 720/3950 MSE 0.0042+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 750/3950 MSE 0.0042+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 780/3950 MSE 0.0042+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 810/3950 MSE 0.0041+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 840/3950 MSE 0.0041+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 870/3950 MSE 0.0041+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 900/3950 MSE 0.0040+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 930/3950 MSE 0.0040+-0.00000
02/29 09:06:29 PM | #### Train: [  2/100] Step 960/3950 MSE 0.0040+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 990/3950 MSE 0.0040+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1020/3950 MSE 0.0039+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1050/3950 MSE 0.0039+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1080/3950 MSE 0.0039+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1110/3950 MSE 0.0039+-0.00000
